site,coast,genus,percent_cover
Afareaitu,East,Acropora,8.7
Afareaitu,East,Montipora,4
Afareaitu,East,Pocillopora,24
Afareaitu,East,other,2.7
Aroa,North,Acropora,5.3
Aroa,North,Montipora,9.3
Aroa,North,Pocillopora,46.7
Aroa,North,other,6
Entre 2 baies,North,Acropora,4
Entre 2 baies,North,Montipora,9.3
Entre 2 baies,North,Pocillopora,62.7
Entre 2 baies,North,other,3.3
Gendron,West,Acropora,3.3
Gendron,West,Montipora,8
Gendron,West,Pocillopora,39.3
Gendron,West,other,6.7
Haapiti,West,Acropora,2.7
Haapiti,West,Montipora,20.7
Haapiti,West,Pocillopora,16
Haapiti,West,other,4
Maatea,East,Acropora,1.3
Maatea,East,Montipora,3.3
Maatea,East,Pocillopora,19.3
Maatea,East,other,8.7
Motu Ahi,East,Acropora,7.3
Motu Ahi,East,Montipora,8.7
Motu Ahi,East,Pocillopora,28.7
Motu Ahi,East,other,3.3
Nuarei,East,Acropora,8
Nuarei,East,Montipora,0.7
Nuarei,East,Pocillopora,17.3
Nuarei,East,other,8.7
Pihaena,North,Acropora,4.7
Pihaena,North,Montipora,8.7
Pihaena,North,Pocillopora,49.3
Pihaena,North,other,6.7
Taotaha,West,Acropora,7.3
Taotaha,West,Montipora,8
Taotaha,West,Pocillopora,40.7
Taotaha,West,other,5.3
Temae,East,Acropora,2.7
Temae,East,Montipora,4
Temae,East,Pocillopora,22
Temae,East,other,4
Tetaiuo,West,Acropora,5.3
Tetaiuo,West,Montipora,6.7
Tetaiuo,West,Pocillopora,30.7
Tetaiuo,West,other,7.3
Tiahura,North,Acropora,4
Tiahura,North,Montipora,2.7
Tiahura,North,Pocillopora,60.7
Tiahura,North,other,4
