site,coast,transect,percent_cover
Afareaitu,East,1,36.7
Afareaitu,East,2,41.9
Afareaitu,East,3,39.3
Aroa,North,1,65.2
Aroa,North,2,69.1
Aroa,North,3,67.3
Entre 2 baies,North,1,77.1
Entre 2 baies,North,2,81.5
Entre 2 baies,North,3,79.3
Gendron,West,1,55.8
Gendron,West,2,59.1
Gendron,West,3,57.3
Haapiti,West,1,41.2
Haapiti,West,2,45.7
Haapiti,West,3,43.3
Maatea,East,1,30.1
Maatea,East,2,34.9
Maatea,East,3,32.7
Motu Ahi,East,1,46.3
Motu Ahi,East,2,50.2
Motu Ahi,East,3,48
Nuarei,East,1,33.1
Nuarei,East,2,36.5
Nuarei,East,3,34.7
Pihaena,North,1,67.2
Pihaena,North,2,71.1
Pihaena,North,3,69.3
Taotaha,West,1,59.1
Taotaha,West,2,63.7
Taotaha,West,3,61.3
Temae,East,1,30.2
Temae,East,2,35.1
Temae,East,3,32.7
Tetaiuo,West,1,48.1
Tetaiuo,West,2,52.3
Tetaiuo,West,3,50
Tiahura,North,1,69.1
Tiahura,North,2,73.5
Tiahura,North,3,71.3
