site,coral_genus,points,coast
Afareaitu,Acropora,0,East
Afareaitu,Montipora,1,East
Afareaitu,Pocillopora,31,East
Aroa,Acropora,3,North
Aroa,Montipora,4,North
Aroa,Pocillopora,38,North
Entre 2 baies,Acropora,0,North
Entre 2 baies,Montipora,2,North
Entre 2 baies,Pocillopora,33,North
Gendron,Acropora,0,West
Gendron,Montipora,2,West
Gendron,Pocillopora,16,West
Haapiti,Acropora,0,West
Haapiti,Montipora,7,West
Haapiti,Pocillopora,9,West
Maatea,Acropora,0,East
Maatea,Montipora,3,East
Maatea,Pocillopora,25,East
Motu Ahi,Acropora,1,East
Motu Ahi,Montipora,5,East
Motu Ahi,Pocillopora,28,East
Nuarei,Acropora,2,East
Nuarei,Montipora,3,East
Nuarei,Pocillopora,36,East
Pihaena,Acropora,4,North
Pihaena,Montipora,7,North
Pihaena,Pocillopora,48,North
Taotaha,Acropora,1,West
Taotaha,Montipora,10,West
Taotaha,Pocillopora,8,West
Temae,Acropora,2,East
Temae,Montipora,8,East
Temae,Pocillopora,26,East
Tetaiuo,Acropora,0,West
Tetaiuo,Montipora,7,West
Tetaiuo,Pocillopora,14,West
Tiahura,Acropora,3,North
Tiahura,Montipora,4,North
Tiahura,Pocillopora,28,North
