site,habitat,biomass
LTER_1,Backreef,1401.585
LTER_1,Forereef,2268.5375
LTER_1,Fringing,1716.745
LTER_2,Backreef,1482.0750000000003
LTER_2,Forereef,1440.8449999999998
LTER_2,Fringing,4278.039999999999
LTER_3,Backreef,2361.9125000000004
LTER_3,Forereef,1369.3899999999999
LTER_3,Fringing,2747.7725000000005
LTER_4,Backreef,1698.9350000000002
LTER_4,Forereef,1700.4524999999996
LTER_4,Fringing,3583.7574999999997
LTER_5,Backreef,1437.875
LTER_5,Forereef,1003.3875
LTER_5,Fringing,4804.152499999999
LTER_6,Backreef,1997.6625
LTER_6,Forereef,1892.6700000000003
LTER_6,Fringing,2472.025
