site,year,tile_id,recruits
Haapiti,2017,1,0
Haapiti,2017,2,0
Haapiti,2017,3,0
Haapiti,2017,4,0
Haapiti,2017,5,2
Haapiti,2017,6,0
Haapiti,2017,7,0
Haapiti,2017,8,0
Haapiti,2017,9,0
Haapiti,2017,10,0
Haapiti,2017,11,0
Haapiti,2017,12,0
Haapiti,2017,13,0
Haapiti,2017,14,0
Haapiti,2017,15,0
Haapiti,2017,16,0
Haapiti,2017,17,0
Haapiti,2017,18,0
Haapiti,2017,19,0
Haapiti,2017,20,0
Tiahura,2017,1,4
Tiahura,2017,2,0
Tiahura,2017,3,0
Tiahura,2017,4,3
Tiahura,2017,5,2
Tiahura,2017,6,13
Tiahura,2017,7,1
Tiahura,2017,8,0
Tiahura,2017,9,1
Tiahura,2017,10,0
Tiahura,2017,11,0
Tiahura,2017,12,0
Tiahura,2017,13,0
Tiahura,2017,14,9
Tiahura,2017,15,0
Tiahura,2017,16,2
Tiahura,2017,17,0
Tiahura,2017,18,1
Tiahura,2017,19,2
Tiahura,2017,20,0
Vaipahu,2017,1,0
Vaipahu,2017,2,2
Vaipahu,2017,3,1
Vaipahu,2017,4,4
Vaipahu,2017,5,0
Vaipahu,2017,6,5
Vaipahu,2017,7,1
Vaipahu,2017,8,0
Vaipahu,2017,9,3
Vaipahu,2017,10,4
Vaipahu,2017,11,0
Vaipahu,2017,12,5
Vaipahu,2017,13,1
Vaipahu,2017,14,1
Vaipahu,2017,15,1
Vaipahu,2017,16,7
Vaipahu,2017,17,5
Vaipahu,2017,18,0
Vaipahu,2017,19,0
Vaipahu,2017,20,3
