date,site,colony,sex,spawning,h_after_sunrise,sst
2021-11-23,Vairao,1,MALE,YES,1.5999999999999996,27.3799932844937
2021-11-23,Vairao,4,FEMALE,YES,2.1166666669999996,27.3799932844937
2021-11-23,Vairao,6,MALE,YES,1.6166666669999996,27.3799932844937
2021-11-23,Vairao,8,MALE,YES,1.9500000000000002,27.3799932844937
2021-11-23,Vairao,9,MALE,YES,1.5499999999999998,27.3799932844937
2021-11-23,Vairao,11,FEMALE,YES,2.266666667,27.3799932844937
2021-11-23,Vairao,14,FEMALE,YES,2.5,27.3799932844937
2021-11-23,Vairao,15,FEMALE,YES,2.233333333,27.3799932844937
2021-11-23,Vairao,18,FEMALE,YES,2.3333333329999997,27.3799932844937
2021-11-23,Vairao,19,FEMALE,YES,2.45,27.3799932844937
2021-11-23,Vairao,20,MALE,YES,1.733333333,27.3799932844937
2021-11-23,Vairao,21,FEMALE,YES,2.3666666669999996,27.3799932844937
2021-11-23,Vairao,24,FEMALE,YES,2.216666667,27.3799932844937
2021-11-23,Vairao,25,MALE,YES,1.8333333329999997,27.3799932844937
2021-11-23,Vairao,28,MALE,YES,1.8499999999999996,27.3799932844937
2021-12-23,Vairao,1,MALE,YES,1.500000033,28.0399932697416
2021-12-23,Vairao,6,MALE,YES,1.3833333670000005,28.0399932697416
2021-12-23,Vairao,9,MALE,YES,1.3333333670000007,28.0399932697416
2021-12-23,Vairao,11,FEMALE,YES,2.0833333670000007,28.0399932697416
2021-12-23,Vairao,14,FEMALE,YES,2.3333333670000007,28.0399932697416
2021-12-23,Vairao,15,FEMALE,YES,2.3333333670000007,28.0399932697416
2021-12-23,Vairao,18,FEMALE,YES,2.3333333670000007,28.0399932697416
2021-12-23,Vairao,19,FEMALE,YES,2.283333367,28.0399932697416
2021-12-23,Vairao,20,MALE,YES,1.9166667000000004,28.0399932697416
2021-12-23,Vairao,21,FEMALE,YES,1.750000033,28.0399932697416
2021-12-23,Vairao,23,FEMALE,YES,1.7666667,28.0399932697416
2021-12-23,Vairao,24,FEMALE,YES,2.2666667,28.0399932697416
2021-12-23,Vairao,25,MALE,YES,1.7333333670000002,28.0399932697416
2021-12-23,Vairao,26,MALE,YES,1.7166667000000002,28.0399932697416
2021-12-23,Vairao,27,FEMALE,YES,2.1666667000000004,28.0399932697416
2021-12-23,Vairao,29,FEMALE,YES,2.1666667000000004,28.0399932697416
2022-01-22,Vairao,1,MALE,YES,1.5500000329999999,28.4599932603538
2022-01-22,Vairao,6,MALE,YES,1.5166667,28.4599932603538
2022-01-22,Vairao,8,MALE,YES,1.7000000329999994,28.4599932603538
2022-01-22,Vairao,9,MALE,YES,1.4666666999999993,28.4599932603538
2022-01-22,Vairao,13,FEMALE,YES,2.033333367,28.4599932603538
2022-01-22,Vairao,14,FEMALE,YES,2.1833333669999995,28.4599932603538
2022-01-22,Vairao,15,FEMALE,YES,2.1166666999999997,28.4599932603538
2022-01-22,Vairao,16,FEMALE,YES,2.4666666999999993,28.4599932603538
2022-01-22,Vairao,17,MALE,YES,1.7000000329999994,28.4599932603538
2022-01-22,Vairao,21,FEMALE,YES,2.2000000329999994,28.4599932603538
2022-01-22,Vairao,22,MALE,YES,1.7000000329999994,28.4599932603538
2022-01-22,Vairao,23,FEMALE,YES,2.2000000329999994,28.4599932603538
2022-01-22,Vairao,24,FEMALE,YES,2.000000033,28.4599932603538
2022-01-22,Vairao,25,MALE,YES,1.783333367,28.4599932603538
2022-01-22,Vairao,28,MALE,YES,1.783333367,28.4599932603538
2022-01-22,Vairao,30,MALE,YES,1.9666666999999993,28.4599932603538
2022-02-21,Vairao,25,MALE,YES,1.9166666999999995,27.9599932715297
2022-02-21,Vairao,28,MALE,YES,1.9166666999999995,27.9599932715297
2022-03-22,Vairao,4,FEMALE,YES,1.7833332999999998,28.6199932567775
2022-03-22,Vairao,6,MALE,YES,1.4499999670000001,28.6199932567775
2022-03-22,Vairao,8,MALE,YES,1.6166666330000004,28.6199932567775
2022-03-22,Vairao,24,FEMALE,YES,1.8166666329999996,28.6199932567775
2022-03-22,Vairao,25,MALE,YES,1.6499999670000003,28.6199932567775
2022-03-22,Vairao,28,MALE,YES,1.6499999670000003,28.6199932567775
2022-03-22,Vairao,30,MALE,YES,1.8999999670000003,28.6199932567775
2022-11-13,Vairao,1,MALE,YES,2.449999997,26.7399932987988
