site;date;day;month;year;number;unique.number;sex;spawning;time.h;time.end.h;time;time.end;sunrise;start.time.to.sunrise;sst
Vairao;25/10/2021;25;10;2021;1;Vairao1;MALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;2;Vairao2;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;3;Vairao3;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;4;Vairao4;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;5;Vairao5;UNKNOWN;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;6;Vairao6;MALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;7;Vairao7;MALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;8;Vairao8;MALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;9;Vairao9;MALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;10;Vairao10;UNKNOWN;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;11;Vairao11;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;12;Vairao12;MALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;13;Vairao13;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;14;Vairao14;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;15;Vairao15;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;16;Vairao16;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;17;Vairao17;MALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;18;Vairao18;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;19;Vairao19;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;20;Vairao20;MALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;21;Vairao21;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;22;Vairao22;MALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;23;Vairao23;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;24;Vairao24;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;25;Vairao25;MALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;26;Vairao26;MALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;27;Vairao27;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;28;Vairao28;MALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;29;Vairao29;FEMALE;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Vairao;25/10/2021;25;10;2021;30;Vairao30;UNKNOWN;NO;NA;NA;NA;NA;5.35;NA;26.8499932963401
Pointe_Venus;25/10/2021;25;10;2021;1;Pointe_Venus1;;NO;NA;NA;NA;NA;5.3666667;NA;26.9899932932109
Pointe_Venus;25/10/2021;25;10;2021;2;Pointe_Venus2;;NO;NA;NA;NA;NA;5.3666667;NA;26.9899932932109
