country,island,site,habitat,depth,latitude,longitude,date,season,h_start,h_sunrise,h_after_sunrise
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2019-11-17,2019-2020,7.11666666666667,5.21583333333333,1.90083333333334
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2020-11-05,2020-2021,6.98333333333333,5.26638888888889,1.7169444444444402
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2020-12-04,2020-2021,6.66666666666667,5.2258333333333304,1.4408333333333392
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2021-01-03,2020-2021,6.83333333333333,5.45138888888889,1.3819444444444402
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2021-02-02,2020-2021,7.01666666666667,5.75777777777778,1.2588888888888903
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2021-03-03,2020-2021,7.41666666666667,5.94972222222222,1.46694444444445
French Polynesia,Tahiti,Vairao 1,Lagoon,2,-17.806149,-149.295217,2021-04-02,2020-2021,7.65,6.06361111111111,1.58638888888889
French Polynesia,Tahiti,Vairao 2,Lagoon,2,-17.809063,-149.298679,2020-12-04,2020-2021,6.83333333333333,5.22611111111111,1.6072222222222203
French Polynesia,Tahiti,Vairao 3,Lagoon,2,-17.809872,-149.302818,2020-12-04,2020-2021,6.83333333333333,5.22638888888889,1.6069444444444407
French Polynesia,Tahiti,Pointe Venus,Lagoon,2,-17.494471,-149.492953,2019-11-17,2019-2020,6.96666666666667,5.23722222222222,1.7294444444444501
French Polynesia,Tahiti,Pointe Venus,Lagoon,2,-17.494471,-149.492953,2020-12-04,2020-2021,6.91666666666667,5.24888888888889,1.66777777777778
French Polynesia,Tahiti,Punaauia PK 15,Lagoon,2,-17.637801,-149.614553,2020-11-05,2020-2021,7.25,5.29138888888889,1.95861111111111
French Polynesia,Tahiti,Punaauia PK 15,Lagoon,2,-17.637801,-149.614553,2020-12-04,2020-2021,7.13333333333333,5.2525,1.8808333333333298
French Polynesia,Tahiti,Punaauia PK 18,Lagoon,2,-17.661567,-149.597767,2019-11-17,2019-2020,7.33333333333333,5.24,2.09333333333333
French Polynesia,Tahiti,Papearii,Lagoon,2,-17.764667,-149.392071,2020-12-04,2020-2021,6.76666666666667,5.23361111111111,1.5330555555555598
French Polynesia,Moorea,Maharepa 2,Lagoon,2,-17.479639,-149.796028,2019-11-17,2019-2020,7.16666666666667,5.25777777777778,1.9088888888888897
French Polynesia,Moorea,Maharepa 2,Lagoon,2,-17.479639,-149.796028,2020-11-05,2020-2021,7.08333333333333,5.30694444444444,1.7763888888888903
French Polynesia,Moorea,Maharepa 3,Lagoon,2,-17.478444,-149.796611,2020-12-04,2020-2021,6.95,5.26944444444444,1.6805555555555598
French Polynesia,Moorea,Maharepa 4,Lagoon,2,-17.478895,-149.790797,2020-12-04,2020-2021,6.91666666666667,5.26916666666667,1.6475
French Polynesia,Moorea,Tiaia,Lagoon,2,-17.47513,-149.7803,2020-12-04,2020-2021,6.83333333333333,5.26861111111111,1.5647222222222208
