country;island;site;habitat;depth;latitude;longitude;date;date.us;year;month;season;start.decimal;ToSR.decimal;STrSR;no.start;quality.start;sst
French Polynesia;Moorea;Haapiti;Lagoon;2;-17.542531;-149.8966;11/11/2014;2014.11.11;2014;11;2014-2015;7.25;5.27944444444444;1.97055555555556;FALSE;Approximative;27.6599932782352
French Polynesia;Tahiti;Vairao 1;Lagoon;2;-17.806149;-149.295217;08/11/2017;2017.11.08;2017;11;2017-2018;7.5;5.24833333333333;2.25166666666667;FALSE;Approximative;27.1299932900816
French Polynesia;Tahiti;Vairao 1;Lagoon;2;-17.806149;-149.295217;27/11/2018;2018.11.27;2018;11;2018-2019;7;5.20777777777778;1.79222222222222;FALSE;Approximative;28.359993262589
French Polynesia;Tahiti;Vairao 1;Lagoon;2;-17.806149;-149.295217;17/11/2019;2019.11.17;2019;11;2019-2020;7.11666666666667;5.21583333333333;1.90083333333333;FALSE;Exact;27.0899932909757
French Polynesia;Tahiti;Vairao 1;Lagoon;2;-17.806149;-149.295217;05/11/2020;2020.11.05;2020;11;2020-2021;6.98333333333333;5.26638888888889;1.71694444444444;FALSE;Exact;27.2099932882935
French Polynesia;Tahiti;Vairao 1;Lagoon;2;-17.806149;-149.295217;04/12/2020;2020.12.04;2020;12;2020-2021;6.66666666666667;5.22583333333333;1.44083333333333;FALSE;Exact;28.1099932681769
French Polynesia;Tahiti;Vairao 1;Lagoon;2;-17.806149;-149.295217;03/01/2021;2021.01.03;2021;1;2020-2021;6.83333333333333;5.45138888888889;1.38194444444444;FALSE;Exact;28.0599932692945
French Polynesia;Tahiti;Vairao 1;Lagoon;2;-17.806149;-149.295217;02/02/2021;2021.02.02;2021;2;2020-2021;7.01666666666667;5.75777777777778;1.25888888888889;FALSE;Exact;28.1999932661653
French Polynesia;Tahiti;Vairao 1;Lagoon;2;-17.806149;-149.295217;03/03/2021;2021.03.03;2021;3;2020-2021;7.41666666666667;5.94972222222222;1.46694444444444;FALSE;Exact;29.0099932480604
French Polynesia;Tahiti;Vairao 1;Lagoon;2;-17.806149;-149.295217;02/04/2021;2021.04.02;2021;4;2020-2021;7.65;6.06361111111111;1.58638888888889;FALSE;Exact;28.6199932567775
French Polynesia;Tahiti;Vairao 2;Lagoon;2;-17.809063;-149.298679;04/12/2020;2020.12.04;2020;12;2020-2021;6.83333333333333;5.22611111111111;1.60722222222222;FALSE;Exact;28.1099932681769
French Polynesia;Tahiti;Vairao 3;Lagoon;2;-17.809872;-149.302818;04/12/2020;2020.12.04;2020;12;2020-2021;6.83333333333333;5.22638888888889;1.60694444444444;FALSE;Exact;28.1199932679534
French Polynesia;Tahiti;Pointe Venus;Lagoon;2;-17.494471;-149.492953;17/11/2019;2019.11.17;2019;11;2019-2020;6.96666666666667;5.23722222222222;1.72944444444444;FALSE;Exact;27.6099932793528
French Polynesia;Tahiti;Pointe Venus;Lagoon;2;-17.494471;-149.492953;04/12/2020;2020.12.04;2020;12;2020-2021;6.91666666666667;5.24888888888889;1.66777777777778;FALSE;Exact;28.1399932675064
French Polynesia;Tahiti;Punaauia PK 15;Lagoon;2;-17.637801;-149.614553;05/11/2020;2020.11.05;2020;11;2020-2021;7.25;5.29138888888889;1.95861111111111;FALSE;Exact;27.3599932849407
French Polynesia;Tahiti;Punaauia PK 15;Lagoon;2;-17.637801;-149.614553;04/12/2020;2020.12.04;2020;12;2020-2021;7.13333333333333;5.2525;1.88083333333333;FALSE;Exact;28.1999932661653
French Polynesia;Tahiti;Punaauia PK 18;Lagoon;2;-17.661567;-149.597767;17/11/2019;2019.11.17;2019;11;2019-2020;7.33333333333333;5.24;2.09333333333333;FALSE;Exact;27.4799932822585
French Polynesia;Tahiti;Punaauia PK 18;Lagoon;2;-17.661567;-149.597767;02/02/2021;2021.02.02;2021;2;2020-2021;NA;5.78111111111111;NA;TRUE;;28.3299932632596
French Polynesia;Tahiti;Punaauia PK 18;Lagoon;2;-17.661567;-149.597767;02/04/2021;2021.04.02;2021;4;2020-2021;NA;6.08305555555556;NA;TRUE;;28.8999932505191
French Polynesia;Tahiti;Punaauia PK 18;Lagoon;2;-17.661567;-149.597767;03/03/2021;2021.03.03;2021;3;2020-2021;NA;5.94972222222222;NA;TRUE;;28.9499932494015
French Polynesia;Tahiti;Papearii;Lagoon;2;-17.764667;-149.392071;04/12/2020;2020.12.04;2020;12;2020-2021;6.76666666666667;5.23361111111111;1.53305555555556;FALSE;Exact;28.0999932684005
French Polynesia;Moorea;Maharepa 1;Lagoon;2;-17.48059;-149.80867;05/11/2020;2020.11.05;2020;11;2020-2021;NA;5.30777777777778;NA;TRUE;;27.4799932822585
French Polynesia;Moorea;Maharepa 1;Lagoon;2;-17.48059;-149.80867;04/12/2020;2020.12.04;2020;12;2020-2021;NA;5.27027777777778;NA;TRUE;;28.2299932654947
French Polynesia;Moorea;Maharepa 2;Lagoon;2;-17.479639;-149.796028;17/11/2019;2019.11.17;2019;11;2019-2020;7.16666666666667;5.25777777777778;1.90888888888889;FALSE;Exact;27.6899932775647
French Polynesia;Moorea;Maharepa 2;Lagoon;2;-17.479639;-149.796028;05/11/2020;2020.11.05;2020;11;2020-2021;7.08333333333333;5.30694444444444;1.77638888888889;FALSE;Exact;27.489993282035
French Polynesia;Moorea;Maharepa 2;Lagoon;2;-17.479639;-149.796028;04/12/2020;2020.12.04;2020;12;2020-2021;7;5.26944444444444;1.73055555555556;FALSE;Approximative;28.2299932654947
French Polynesia;Moorea;Maharepa 3;Lagoon;2;-17.478444;-149.796611;04/12/2020;2020.12.04;2020;12;2020-2021;6.95;5.26944444444444;1.68055555555556;FALSE;Exact;28.2299932654947
French Polynesia;Moorea;Maharepa 4;Lagoon;2;-17.478895;-149.790797;04/12/2020;2020.12.04;2020;12;2020-2021;6.91666666666667;5.26916666666667;1.6475;FALSE;Exact;28.2299932654947
French Polynesia;Moorea;Tiaia;Lagoon;2;-17.47513;-149.7803;04/12/2020;2020.12.04;2020;12;2020-2021;6.83333333333333;5.26861111111111;1.56472222222222;FALSE;Exact;28.2299932654947
French Polynesia;Moorea;Tiaia;Lagoon;2;-17.47513;-149.7803;05/11/2020;2020.11.05;2020;11;2020-2021;NA;5.30694444444444;NA;TRUE;;27.489993282035
French Polynesia;Moorea;Tiki village;Lagoon;2;-17.529101;-149.90748;04/12/2020;2020.12.04;2020;12;2020-2021;7.1;5.27527777777778;1.82472222222222;FALSE;Exact;28.2299932654947
French Polynesia;Moorea;Tiki village;Lagoon;2;-17.529101;-149.90748;02/04/2021;2021.04.02;2021;4;2020-2021;7.63333333333333;6.10277777777778;1.53055555555556;FALSE;Exact;28.9799932487309
French polynesia;Moorea;Temae;Lagoon;2;-17.4982;-149.75599;05/11/2020;2020.11.05;2020;11;2020-2021;NA;5.30694444444444;NA;TRUE;;27.489993282035
French polynesia;Moorea;Tiki village;Lagoon;2;-17.529101;-149.90748;05/11/2020;2020.11.05;2020;11;2020-2021;NA;5.30694444444444;NA;TRUE;;27.4699932824821
French Polynesia;Raiatea;Pufau;Lagoon;2;-16.762599;-151.492126;05/11/2020;2020.11.05;2020;11;2020-2021;7.03333333333333;5.43527777777778;1.59805555555555;FALSE;Exact;27.509993281588
French Polynesia;Raiatea;Pufau;Lagoon;2;-16.762599;-151.492126;04/12/2020;2020.12.04;2020;12;2020-2021;NA;5.40444444444444;NA;TRUE;;28.3499932628125
French Polynesia;Tahaa;Baie rae;Lagoon;2;-16.620517;-151.432817;04/12/2020;2020.12.04;2020;12;2020-2021;7.16666666666667;5.405;1.76166666666667;FALSE;Exact;28.339993263036
French Polynesia;Bora Bora;Pointe Raititi;Lagoon;2;-16.53283;-151.747537;05/11/2020;2020.11.05;2020;11;2020-2021;7.3;5.45722222222222;1.84277777777778;FALSE;Exact;27.4599932827056
French Polynesia;Bora Bora;Pointe Raititi;Lagoon;2;-16.53283;-151.747537;04/12/2020;2020.12.04;2020;12;2020-2021;7;5.42861111111111;1.57138888888889;FALSE;Exact;28.1799932666123
French Polynesia;Bora Bora;Bloody Marys;Lagoon;5;-16.52982;-151.727849;05/11/2020;2020.11.05;2020;11;2020-2021;7;5.45583333333333;1.54416666666667;FALSE;Exact;27.4666599492232
French Polynesia;Bora Bora;Bloody Marys;Lagoon;5;-16.52982;-151.727849;04/12/2020;2020.12.04;2020;12;2020-2021;6.83333333333333;5.4275;1.40583333333333;FALSE;Exact;28.1933265996476
French Polynesia;Bora Bora;Bloody Marys;Lagoon;5;-16.52982;-151.727849;03/01/2021;2021.01.03;2021;1;2020-2021;NA;NA;NA;TRUE;;28.1999932661653
French Polynesia;Bora Bora;Bloody Marys;Lagoon;5;-16.52982;-151.727849;03/03/2021;2021.03.03;2021;3;2020-2021;7.35;6.12305555555556;1.22694444444444;FALSE;Exact;29.3399932406843
French Polynesia;Bora Bora;Bloody Marys;Lagoon;5;-16.52982;-151.727849;02/04/2021;2021.04.02;2021;4;2020-2021;7.41666666666667;6.21777777777778;1.19888888888889;FALSE;Exact;29.2133265768488
French Polynesia;Bora Bora;Matira;Lagoon;2;-16.5365;-151.7409;05/11/2020;2020.11.05;2020;11;2020-2021;7.58333333333333;5.45666666666667;2.12666666666667;FALSE;Exact;27.4599932827056
French Polynesia;Bora Bora;Matira;Lagoon;2;-16.5365;-151.7409;04/12/2020;2020.12.04;2020;12;2020-2021;6.83333333333333;5.42805555555556;1.40527777777778;FALSE;Exact;28.1799932666123
French Polynesia;Bora Bora;Matira;Lagoon;2;-16.5365;-151.7409;03/01/2021;2021.01.03;2021;1;2020-2021;NA;NA;NA;TRUE;;28.1999932661653
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;04/12/2020;2020.12.04;2020;12;2020-2021;6.75;5.42833333333333;1.32166666666667;FALSE;Exact;28.1799932666123
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;02/04/2021;2021.04.02;2021;4;2020-2021;7.53333333333333;6.21833333333333;1.315;FALSE;Exact;29.229993243143
French Polynesia;Bora Bora;Motu toopua;Lagoon;2;-16.523532;-151.77181;04/12/2020;2020.12.04;2020;12;2020-2021;NA;5.43055555555556;NA;TRUE;;28.1799932666123
French Polynesia;Bora Bora;Motu toopua;Lagoon;2;-16.523532;-151.77181;03/03/2021;2021.03.03;2021;3;2020-2021;NA;6.12305555555556;NA;TRUE;;29.3699932400137
French Polynesia;Bora Bora;Pointe Taihi;Lagoon;2;-16.465298;-151.743954;05/11/2020;2020.11.05;2020;11;2020-2021;7.5;5.45833333333333;2.04166666666667;FALSE;Exact;27.4699932824821
French Polynesia;Bora Bora;Pointe Taihi;Lagoon;2;-16.465298;-151.743954;04/12/2020;2020.12.04;2020;12;2020-2021;7;5.43055555555556;1.56944444444444;FALSE;Exact;28.1799932666123
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;05/11/2020;2020.11.05;2020;11;2020-2021;7.3;5.49194444444444;1.80805555555556;FALSE;Exact;27.6799932777882
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;04/12/2020;2020.12.04;2020;12;2020-2021;6.98333333333333;5.46416666666667;1.51916666666667;FALSE;Exact;28.2899932641536
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;03/01/2021;2021.01.03;2021;1;2020-2021;7.1;5.69027777777778;1.40972222222222;FALSE;Exact;28.2299932654947
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;02/02/2021;2021.02.02;2021;2;2020-2021;7.5;5.98416666666667;1.51583333333333;FALSE;Exact;28.3699932623655
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;03/03/2021;2021.03.03;2021;3;2020-2021;7.53333333333333;6.15861111111111;1.37472222222222;FALSE;Exact;29.479993237555
French Polynesia;Maupiti;Petit lagon bleu;Lagoon;5;-16.473867;-152.2525;02/04/2021;2021.04.02;2021;4;2020-2021;7.58333333333333;6.25222222222222;1.33111111111111;FALSE;Exact;29.1599932447076
French Polynesia;Apataki;Apataki 1;Lagoon;5;-15.5678;-146.41099;21/04/2022;2022.04.21;2022;4;2021-2022;7.46666666666667;5.9;1.56666666666667;FALSE;Exact;28.2499932650477
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;25/10/2021;2021.10.25;2021;10;2021-2022;7.46666666666667;5.53333333333333;1.93333333333333;FALSE;Exact;27.0699932914227
French Polynesia;Bora Bora;Pointe raititi;Lagoon;2;-16.53283;-151.747537;25/10/2021;2021.10.25;2021;10;2021-2022;7.25;5.53333333333333;1.71666666666667;FALSE;Exact;27.0699932914227
French Polynesia;Bora Bora;Motu toopua;Lagoon;2;-16.523532;-151.77181;23/11/2021;2021.11.23;2021;11;2021-2022;7;5.4;1.6;FALSE;Exact;27.9599932715297
French Polynesia;Bora Bora;Pointe taihi;Lagoon;2;-16.465298;-151.743954;23/11/2021;2021.11.23;2021;11;2021-2022;6.83333333333333;5.4;1.43333333333333;FALSE;Exact;27.9499932717532
French Polynesia;Bora Bora;Bora 2;Channel;15;-16.49107;-151.71033;23/11/2021;2021.11.23;2021;11;2021-2022;8.83333333333333;5.4;3.43333333333333;FALSE;Approximative;27.9499932717532
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;23/11/2021;2021.11.23;2021;11;2021-2022;6.8;5.4;1.4;FALSE;Exact;27.9599932715297
French Polynesia;Bora Bora;Bora 1;Lagoon;5;-16.52854;-151.74528;23/11/2021;2021.11.23;2021;11;2021-2022;6.78333333333333;5.4;1.38333333333333;FALSE;Exact;27.9599932715297
French Polynesia;Bora Bora;Motu toopua;Lagoon;2;-16.523532;-151.77181;23/12/2021;2021.12.23;2021;12;2021-2022;7.03333333333333;5.53333333333333;1.5;FALSE;Exact;28.4999932594598
French Polynesia;Bora Bora;Bora 2;Channel;15;-16.49107;-151.71033;23/12/2021;2021.12.23;2021;12;2021-2022;9;5.53333333333333;3.46666666666667;FALSE;Approximative;28.5099932592362
French Polynesia;Bora Bora;Ame;Lagoon;2;-16.524429;-151.739351;23/12/2021;2021.12.23;2021;12;2021-2022;6.83333333333333;5.53333333333333;1.3;FALSE;Exact;28.4999932594598
French Polynesia;Bora Bora;Bora 3;Lagoon;5;-16.49045;-151.7112;23/12/2021;2021.12.23;2021;12;2021-2022;6.91666666666667;5.53333333333333;1.38333333333333;FALSE;;28.5099932592362
